start,text
367.2,"managing data labelers—can be easily replicated.
Other companies, such as Surge AI, Labelbox,"
373.24,"and Snorkel AI, are already 
stepping into the same space."
377.12,"But Alexandr is confident that Scale 
AI maintains a significant advantage."
381.96,"He told Forbes, “I would say that we’ve 
been working on this problem longer and"
385.56,"have built more technology than anyone else.”
Scale’s edge may come from Alexandr himself."
391.44,"William Hockey, the billionaire co-founder 
of fintech company Plaid who sits on"
395.36,"Scale’s board, said this to Forbes:
“Wang didn’t get to where he is because"
399.24,"he’s a boy genius—MIT pumps out a lot of teenage 
dropouts. He has an absolutely insane work ethic.”"
407.28,"But for Alexandr, hard work alone isn't enough."
410.2,"His leadership emphasizes 'active 
thinking'—constantly questioning"
414.44,"assumptions and testing ideas with data.
As he explained in a memo to his team: Ensure to"
420.04,"ask questions, challenge assumptions, and identify 
where the real bottlenecks and constraints are. It"
425.64,"is the only way you will be able to sort through 
the noise to identify the reasons you failed."
430.44,"Alexandr warns against 'nice syndrome,' 
where large groups avoid challenging"
434.32,"important ideas for fear of seeming impolite.
He advocates for a culture that promotes"
439.16,"questioning assumptions on critical issues, 
ensuring that ideas are rigorously tested."
444.76,"None of Alexandr’s success would have 
been possible without mastering coding."
449.08,You can develop those same skills with Brilliant.
451.4,"Brilliant’s Python courses teach you to code 
from day one with their drag-and-drop editor."
456.08,"I like that it's completely hands-on, 
so you're learning by doing."
459.48,"Plus, Brilliant’s new data science 
content lets you analyze real-world"
463.08,"data to train you to see trends 
and help you make better decisions."
467.08,"Whether you're interested in math, programming,"
469.24,"or AI, there's something for 
everyone and every skill level."
472.8,"You can try Brilliant for FREE for 30 days by 
signing up at brilliant.org/newsthink - link"
479.04,"in my description - or scan 
the QR code on your screen."
482.48,"If you love it, you’ll get 20% off 
Brilliant’s annual Premium subscription,"
486.92,unlocking thousands of interactive lessons.
489.04,Thanks for watching.
489.96,"For Newsthink, I’m Cindy Pom."
Title:,The Young Billionaire Who Built a Company the World Relies On
